2022-11-19 01:58:12.456[1668823092456] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/account?timestamp=1668823092456&signature=0fb22802cfde9f4f85a5892547aa0b5090bf514b24b93385e6ab80417086ab82
2022-11-19 01:58:47.097[1668823127097] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/account?timestamp=1668823127029&signature=ccfff0d0c92e4ad4d109e7b0e6b63e527edf3eb9a767bfbec470bdb41c5ae975
2022-11-19 01:58:48.266[1668823128266] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/account?timestamp=1668823128266&signature=73899e6855a71a44995c93915dd94d265e6f0aae84b66df6f3eb3d2481d96504
2022-11-19 01:59:07.930[1668823147930] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/account?timestamp=1668823147876&signature=e1241640b57fe5d3ae8409aef5fefe57fa0bb63090bd71660c2d35d816bed39e
2022-11-19 01:59:08.903[1668823148903] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/account?timestamp=1668823148903&signature=dc3740b2bc467ff07dd07958b38f6fea00ee581b10e6e68f61be16c8038eb4c5
2022-11-19 02:00:42.332[1668823242332] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/account?timestamp=1668823242282&signature=4decca2cd7c8b161a1e825adac75e8d80d264001a60ce55dcfd9bc92c74f9cc3
2022-11-19 02:00:43.300[1668823243300] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/account?timestamp=1668823243299&signature=882aa8e59ed389437eb56de4ff30ad5efec92903421ac47e5ea00743768465a4
2022-11-19 02:01:00.204[1668823260204] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/account?timestamp=1668823260150&signature=9782b782a51c2e491adcdc6084eab415a1a00a539a006d5b330e51a697da84b5
2022-11-19 02:01:01.228[1668823261228] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/account?timestamp=1668823261228&signature=62b9755ab13c3b077d8388ac440f9f1f241f24a090d2abd59a867186bb199642
2022-11-19 02:01:50.830[1668823310830] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/account?timestamp=1668823310779&signature=d9760058dff83aff168ceace93729413170f39bfecc704c7b4d8bc22f6abef45
2022-11-19 02:01:51.892[1668823311892] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/account?timestamp=1668823311891&signature=3a11c1f8b269d545db28d517b98bdd210c5eee63312b9d9264bd942ae126c4b4
2022-11-19 02:02:26.648[1668823346648] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/account?timestamp=1668823346602&signature=8cc9d2b2e302a1fefd9d0ed9ef32d728e2345c814a8633d61e3a133f036a9c04
2022-11-19 02:02:27.617[1668823347617] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/account?timestamp=1668823347616&signature=017275efa2f82b1c9dce4f09c821e8337bab8dd06a865faee93f9f010cf8ea41
2022-11-19 02:03:33.539[1668823413539] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/account?timestamp=1668823413488&signature=c82885c965b9977039991d1f29f6f4c7a2384775a84dac67e8986368971e229f
2022-11-19 02:03:34.594[1668823414594] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/account?timestamp=1668823414594&signature=46ce88a11e21db50e37805ad628aeecd63c35f3eda95909cd594cfcef4f2f698
2022-11-19 02:04:04.717[1668823444717] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/account?timestamp=1668823444666&signature=05e5dfc7790cc2054fcabfba69d4aa6e62538e49ba152f90382ba114282b6238
2022-11-19 02:04:05.650[1668823445650] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/account?timestamp=1668823445650&signature=f6e14a7e5749cea284cebf348d6a5470eeb52f69ebb68fc348df90ee90325b0f
2022-11-19 02:05:36.594[1668823536594] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/account?timestamp=1668823536546&signature=edd17f7cd55c017e777eef373939717d3940633bc59750eeac62d2ab6f0a2caf
2022-11-19 02:05:37.667[1668823537667] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/account?timestamp=1668823537666&signature=841bab22dc5feeeef32d608a3681f7aad37c224eaa83f85cba428300bd6a1b91
2022-11-19 02:11:15.840[1668823875840] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/account?timestamp=1668823875837&signature=be0e4f384d468cdff95672b5797b3b7ba2911a1e318435a8469311b451fa55bb
2022-11-19 02:11:16.435[1668823876435] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/sapi/v1/capital/config/getall?timestamp=1668823876435&signature=c8abd2ca4aeb0321339541b40fffd4299d6e728a9d36ebb66c39346e16516a33
2022-11-19 02:11:17.045[1668823877045] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/account?timestamp=1668823877045&signature=856191042ca88b6a15570b5bd8083fca8505580bbac9207c15bb3ecad88fa874
2022-11-19 02:11:20.604[1668823880604] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/account?timestamp=1668823880604&signature=ec619f6af3e2ef204bf83e3637e9d5c9a97ebb4ca3b975f41748239bb93d5312
2022-11-19 02:11:20.990[1668823880990] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/account?timestamp=1668823880989&signature=de5b1f18d43b0a94a331cf84999eb5434e4fd6338ceac2d6b86967047fd4fbe5
2022-11-19 02:11:21.475[1668823881475] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/account?timestamp=1668823881475&signature=13ce89d6e9519b5aa73efd6bc42d2042ef7f5bf769004f26b15917a888c7bf4a
2022-11-19 02:11:21.972[1668823881972] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/account?timestamp=1668823881972&signature=71758c14504eb85080282e62fbec5c499f52e133839d60f453fbdff5a6a769fe
2022-11-19 02:11:22.298[1668823882298] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/account?timestamp=1668823882298&signature=cbf73848bedd5e077e043e007cf9a4ec8a6fa316d443374a65aa8e52c345f507
2022-11-19 02:11:22.766[1668823882766] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/account?timestamp=1668823882766&signature=76aac641c94dc6bd3327fc1097a5e61ac3ad1c5f70eca3cf0d2cf8b1360bd53b
2022-11-19 02:11:23.142[1668823883142] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/account?timestamp=1668823883142&signature=0128d17cad80a377b57a37665035e7a6aafcbf72c19cd71b30487953e4a8de3d
2022-11-19 02:11:23.514[1668823883514] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/account?timestamp=1668823883514&signature=80cdb716eeb64c1c9b9262d5fbe84eb214a9ee00719373840f0cb5b444153486
2022-11-19 02:11:24.556[1668823884556] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/account?timestamp=1668823884555&signature=31afa677df2b761eab9e10518733e86331b48a82e834242d61a226866ee9edb5
2022-11-19 02:11:25.560[1668823885560] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/account?timestamp=1668823885559&signature=efbf17fd713d63ed422e400fbed169ab0685e97fe71004a08f9374996bbb238f
2022-11-19 02:11:26.598[1668823886598] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/account?timestamp=1668823886598&signature=aeae0a5342c197d8c4d166418683a8131e157985bf78cc9644d355a9aa55f92d
2022-11-19 02:11:26.942[1668823886942] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/account?timestamp=1668823886941&signature=b8372f87ec4a39426c2d8ea0178f9999b05ce414855b3f93651f07f35125b203
2022-11-19 02:11:27.321[1668823887321] | INFO  | main       | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/account?timestamp=1668823887321&signature=c790bfb15fe88ed086ca6066274ab71af3756634724be402531c0d33363894be
